#name,chromosome,start,end,x1,y1,x2,y2
csu200a ,Chr2,182.90,182.90,137,1909,178,1917
umc176 ,Chr2,114.50,114.50,137,1225,177,1233
mir3b(thp) ,Chr2,14.90,14.90,137,229,188,239
csu1066 ,Chr2,93.50,93.50,157,1015,199,1023
umc131 (CBM 2.05) ,Chr2,90.40,90.40,137,983,224,992
tjp1(thp) ,Chr2,133.80,133.80,157,1418,201,1428
csu148b(clx) ,Chr2,88.80,88.80,137,967,196,976
umc34 (CBM 2.04) ,Chr2,70.20,70.20,137,781,218,790
csu920a ,Chr2,156.80,156.80,147,1648,188,1656
rz509b(mip) ,Chr2,116.00,116.00,137,1240,194,1250
bnl8.44b ,Chr2,162.90,162.90,137,1709,179,1717
umc8g ,Chr2,102.50,102.50,137,1105,172,1115
rgpc74c ,Chr2,153.30,153.30,157,1613,197,1623
csu315d ,Chr2,180.00,180.00,142,1880,184,1888
tua5 ,Chr2,150.70,150.70,137,1587,163,1595
csu851a ,Chr2,101.20,101.20,142,1092,183,1100
umc6a (CBM 2.03) ,Chr2,50.60,50.60,137,585,219,594
asg84a ,Chr2,147.10,147.10,147,1551,183,1561
php10012 ,Chr2,85.20,85.20,142,932,191,942
mn1 ,Chr2,85.20,85.20,137,932,162,940
umc171b(oec23) ,Chr2,171.90,171.90,137,1798,213,1807
csu109a ,Chr2,189.20,189.20,142,1972,183,1980
csu1192(apx) ,Chr2,0.00,0.00,157,80,220,90
umc2Stelo-1 ,Chr2,0.00,0.00,147,80,205,88
npi123c ,Chr2,108.60,108.60,137,1166,177,1176
csu203b(eif5A) ,Chr2,151.50,151.50,142,1594,211,1603
csu800(lhca) ,Chr2,149.20,149.20,167,1571,227,1580
umc137a ,Chr2,153.30,153.30,142,1613,187,1621
umc267(kapp) ,Chr2,117.30,117.30,137,1253,203,1263
rgpc1122a(rpL15) ,Chr2,148.10,148.10,147,1561,227,1571
umc36b ,Chr2,148.10,148.10,142,1561,182,1569
asg20 (CBM 2.08) ,Chr2,149.20,149.20,152,1572,231,1582
umn1(acc) ,Chr2,93.50,93.50,142,1014,193,1023
umc55a ,Chr2,120.30,120.30,142,1283,182,1291
npi220d ,Chr2,75.20,75.20,142,832,183,842
umng2 ,Chr2,92.70,92.70,137,1007,173,1017
umng1 ,Chr2,93.00,93.00,147,1010,183,1020
csu728b ,Chr2,174.80,174.80,142,1828,184,1836
umc53a (CBM 2.02) ,Chr2,12.40,12.40,137,203,224,212
umc116b ,Chr2,152.20,152.20,137,1602,182,1610
csu326 ,Chr2,0.90,0.90,137,89,174,97
umc61 ,Chr2,55.60,55.60,137,636,172,644
php20005 ,Chr2,144.10,144.10,137,1521,186,1531
asg72a ,Chr2,144.10,144.10,142,1521,179,1531
csu749b ,Chr2,150.70,150.70,147,1587,188,1595
csu552 ,Chr2,17.40,17.40,147,254,184,262
agrr113a ,Chr2,61.30,61.30,142,693,186,703
csu810a ,Chr2,197.90,197.90,137,2059,178,2067
bnl8.04 ,Chr2,71.50,71.50,137,795,175,803
bnl17.14 ,Chr2,202.10,202.10,137,2101,180,2109
csu334 ,Chr2,77.90,77.90,142,859,178,867
umc255a (CBM 2.06) ,Chr2,110.10,110.10,137,1180,229,1189
csu658(mam) ,Chr2,149.20,149.20,162,1571,225,1580
cdo244b(crp) ,Chr2,22.60,22.60,137,306,198,316
agrr85a ,Chr2,149.20,149.20,147,1572,186,1582
csu657(atpd) ,Chr2,149.20,149.20,157,1572,219,1582
rgpc12b ,Chr2,207.60,207.60,137,2156,178,2166
agrp173 ,Chr2,94.50,94.50,137,1025,178,1035
csu861 ,Chr2,68.50,68.50,137,765,174,773
csu1163 ,Chr2,93.50,93.50,162,1015,204,1023
csh7 ,Chr2,55.80,55.80,152,638,178,646
csu642 ,Chr2,13.60,13.60,137,216,173,224
csu56c(ohp) ,Chr2,77.50,77.50,137,855,194,865
csu762 ,Chr2,77.90,77.90,147,859,184,867
csu842 ,Chr2,93.50,93.50,152,1015,188,1023
csu64a(grf) ,Chr2,173.70,173.70,137,1817,191,1827
agrc805 ,Chr2,1.90,1.90,137,99,177,109
bnl10.42a ,Chr2,65.20,65.20,137,732,185,740
csh1b(chi) ,Chr2,148.10,148.10,137,1560,187,1569
bnl5.21b ,Chr2,153.30,153.30,137,1613,180,1621
hrg1 ,Chr2,83.10,83.10,137,911,163,921
csu337 ,Chr2,107.20,107.20,137,1152,174,1160
csu17b(rnp) ,Chr2,151.30,151.30,137,1593,194,1603
umc184b(glb) ,Chr2,86.40,86.40,137,944,201,954
csu393(fbn) ,Chr2,77.90,77.90,152,858,209,867
umc2Ltelo ,Chr2,203.80,203.80,137,2118,186,2126
ivr1 ,Chr2,61.30,61.30,137,693,160,701
csu665a(adt) ,Chr2,193.40,193.40,137,2013,198,2022
mpik27a(zmm7) ,Chr2,147.10,147.10,152,1551,225,1561
csu29a ,Chr2,7.40,7.40,137,154,173,162
bcd450f ,Chr2,86.40,86.40,142,944,183,952
csu40(grx) ,Chr2,70.20,70.20,142,782,192,792
whp1 ,Chr2,172.80,172.80,137,1808,166,1818
csu833 ,Chr2,93.50,93.50,147,1015,184,1023
bnl10.38b ,Chr2,1.00,1.00,137,90,185,98
umc122a ,Chr2,151.50,151.50,137,1595,182,1603
csu1091 ,Chr2,41.00,41.00,137,490,179,498
umc22a ,Chr2,147.10,147.10,137,1551,177,1559
tda217b ,Chr2,114.00,114.00,137,1220,178,1228
csu175a(eif5A) ,Chr2,153.30,153.30,152,1612,221,1621
asg28c ,Chr2,158.40,158.40,137,1664,173,1674
csh6 ,Chr2,55.70,55.70,147,637,173,645
rz590a ,Chr2,16.30,16.30,137,243,172,251
csu1059 ,Chr2,95.90,95.90,142,1039,184,1047
csu894a ,Chr2,156.80,156.80,142,1648,183,1656
npi239 ,Chr2,0.00,0.00,142,80,177,90
npi47c ,Chr2,172.80,172.80,142,1808,176,1818
agrr167a ,Chr2,65.20,65.20,142,732,186,742
klp1d ,Chr2,119.10,119.10,137,1271,167,1281
csu571a(ipp) ,Chr2,64.70,64.70,137,727,197,737
asg23 ,Chr2,153.30,153.30,147,1613,179,1623
csu1117b ,Chr2,82.10,82.10,137,901,184,909
bcd855a(ext) ,Chr2,55.60,55.60,142,635,204,644
agrc539a ,Chr2,30.50,30.50,142,385,187,395
umc125a ,Chr2,150.70,150.70,142,1587,187,1595
csu12d(cin4) ,Chr2,17.40,17.40,137,253,197,262
csu1073a ,Chr2,103.80,103.80,137,1118,184,1126
ugp1 ,Chr2,147.10,147.10,142,1551,170,1561
csu847a(lhcb) ,Chr2,149.20,149.20,172,1571,237,1580
umc49a (CBM 2.09) ,Chr2,171.90,171.90,142,1798,229,1807
csu850 ,Chr2,101.20,101.20,137,1092,174,1100
csu251b ,Chr2,202.10,202.10,142,2101,184,2109
bnl8.45a (CBM 2.01) ,Chr2,0.00,0.00,137,79,226,88
fco1b(pex) ,Chr2,180.00,180.00,152,1880,203,1890
csu1167 ,Chr2,62.60,62.60,137,706,179,714
csu350(gpdh) ,Chr2,73.60,73.60,142,816,206,826
csu176 ,Chr2,58.20,58.20,137,662,174,670
Chr2,Chr2,0.00,207.60,120,80,130,2156
rgpg271 ,Chr2,85.20,85.20,147,932,188,942
prp2 ,Chr2,76.20,76.20,137,842,163,852
csu255a ,Chr2,87.70,87.70,137,957,178,965
csu611a(grp) ,Chr2,192.00,192.00,137,2000,198,2010
csu1051 ,Chr2,131.60,131.60,137,1396,179,1404
asg29b ,Chr2,95.50,95.50,137,1035,174,1045
uaz352b ,Chr2,120.40,120.40,147,1284,189,1292
umc2Stelo-2 ,Chr2,0.00,0.00,152,80,210,88
npi47a ,Chr2,133.80,133.80,137,1418,172,1428
umc98a ,Chr2,133.80,133.80,147,1418,187,1426
umc139a ,Chr2,121.10,121.10,137,1291,182,1299
bnlg125 ,Chr2,39.10,39.10,137,471,178,481
csu1053 ,Chr2,12.40,12.40,142,204,184,212
csu270 ,Chr2,125.80,125.80,137,1338,174,1346
inra1(tmp) ,Chr2,56.80,56.80,137,648,188,658
umc234 ,Chr2,74.30,74.30,142,823,182,831
srk1 ,Chr2,184.90,184.90,137,1929,162,1937
csu425(gct) ,Chr2,46.40,46.40,137,544,193,554
csu4a ,Chr2,93.50,93.50,137,1015,168,1023
